iso3_o,iso3_d,baseline modeled trade,experiment trade,trade change (percent),baseline observed trade,experiment observed trade,trade change (observed level)
MAR,USA,68596604.18330146,70209160.22533433,2.3507811519705135,794958.062,813645.7862875661,18687.72428756603
OMN,ARE,5050312.200973924,6146416.372943392,21.703691343241914,3055810.5,3719034.178954378,663223.6789543778
OMN,BHR,486994.77755952365,459153.07095011923,-5.717044184524426,71435.039,67351.06625713775,-4083.9727428622573
OMN,IND,18615949.192561015,22674553.25617362,21.801757308375294,911741.562,1110517.24462683,198775.68262683006
OMN,IRQ,1869779.4360657297,2229002.3289523246,19.212046402780462,765707.562,912815.6541210391,147108.09212103905
OMN,ISR,2161863.433349687,2103565.764290996,-2.696639767312325,,,
OMN,JOR,389550.5179500577,375839.7354729058,-3.519641701236214,34024.863,32827.30973306351,-1197.5532669364911
OMN,MAR,528578.8372448772,515421.95990113326,-2.489104068623302,13791.593,13448.305897509033,-343.2871024909673
OMN,OMN,4630845.107693305,4362920.0858635735,-5.785661485084508,,,
OMN,QAT,2242916.7534878794,2732740.47060762,21.838693583167252,252594.25,307757.53426619945,55163.28426619945
OMN,SAU,4945073.777312767,5940032.2449178025,20.120194610032943,1070539.0,1285933.5301763006,215394.53017630056
OMN,USA,25371502.748040583,25090031.648899708,-1.1093986112533787,791807.188,783022.8900525236,-8784.297947476385
QAT,ARE,17064227.396695312,18659771.515582312,9.350227712014641,3756759.75,4108025.341218312,351265.5912183118
QAT,BHR,2664939.5081235087,3249292.2536376854,21.927430012309852,213936.906,260847.77133365112,46910.865333651134
QAT,IND,27905912.715494733,30539767.511385825,9.438339547405828,7380671.5,8077284.337048611,696612.8370486107
QAT,IRQ,4934256.897912813,5285156.368348643,7.111495767159185,64049.91,68604.81663851927,4554.906638519271
QAT,ISR,3653332.750336464,4597114.267073167,25.83343979958525,,,
QAT,JOR,667216.4981984064,832480.2032544984,24.769127487454373,228746.359,285404.83628362004,56658.47728362004
QAT,MAR,753252.8363735687,949865.5850666331,26.10182653139802,52042.648,65626.72970330607,13584.081703306074
QAT,OMN,2242916.753152749,2732740.47060762,21.83869360137205,189480.141,230860.12842843775,41379.987428437744
QAT,QAT,39437371.41849234,43172692.55327946,9.471526626735606,,,
QAT,SAU,18855010.981514618,20349734.98368987,7.927462909677829,519204.75,560364.5139815354,41159.76398153545
QAT,USA,34290247.0365078,43852450.02831,27.88607204148051,683435.5,874018.8158870524,190583.31588705245
SAU,ARE,29389269.56573238,31683946.960433073,7.807874876129169,10147019.0,10939285.547177054,792266.547177054
SAU,BHR,6425003.083515582,7723347.110194941,20.207679433033704,5340087.5,6419195.2634435035,1079107.7634435035
SAU,IND,144647621.74072564,156067181.06348062,7.894743919968505,21190854.0,22863817.6577544,1672963.6577543989
SAU,IRQ,17429230.139752157,18405392.44616394,5.600719587639028,331307.938,349863.566578969,18555.628578968986
SAU,ISR,25707127.655070607,31891901.666465525,24.05859609980581,,,
SAU,JOR,2560753.225164255,3149964.5043327585,23.009295600153326,2059194.875,2533001.110771958,473806.2357719578
SAU,MAR,4710784.925770273,5856598.438379655,24.323197315615637,325742.969,404974.07409161463,79231.10509161465
SAU,OMN,4945073.776774733,5940032.244917804,20.120194623102286,932079.875,1119616.1598927686,187536.2848927686
SAU,QAT,18855010.98228044,20349734.983689897,7.927462905294341,1417498.0,1529869.628133289,112371.62813328905
SAU,SAU,185462751.0336745,197341969.9036071,6.4051777533353205,,,
SAU,USA,206305761.56043962,260115000.86423078,26.082276566971753,19262914.0,24287120.50433792,5024206.504337922
USA,ARE,83083335.44584607,106134282.6303635,27.744369025172436,22381772.0,28591453.418052718,6209681.418052718
USA,BHR,8346399.3693423,8259815.862908181,-1.0373755508531595,902081.0,892723.0322571084,-9357.967742891633
USA,IND,554203680.8873729,708534455.9599024,27.84730242596371,21688964.0,27728755.398138396,6039791.398138396
USA,IRQ,59968184.807400435,75037621.76822618,25.129053029075646,1268731.375,1587551.5550202706,318820.18002027064
USA,ISR,95653351.45876467,97693584.38566574,2.132944529163308,13197078.0,13478564.353210414,281486.3532104138
USA,JOR,16533621.738886334,16743448.852614023,1.269093469304338,1494813.5,1513784.0805067795,18970.580506779486
USA,MAR,68596604.2065745,70209160.2253343,2.350781117245524,1865991.25,1909856.6199544535,43865.36995445355
USA,OMN,25371502.75110094,25090031.648899734,-1.1093986231816362,1783924.125,1764133.295318645,-19790.82968135504
USA,QAT,34290247.04576742,43852450.028309986,27.88607200694656,4928701.5,6303122.749297456,1374421.249297456
USA,SAU,206305761.60777107,260115000.86423114,26.082276538045654,18022558.0,22723251.41678967,4700693.41678967
USA,USA,17416747580.851124,18078404124.59531,3.7989672909518766,,,
